Time, Emission CO2
   0.000000,    0.486173
   0.100000,  486.229424
   0.200000,  972.943809
   0.300000, 1459.717953
   0.400000, 1946.492096
   0.500000, 2433.266240
   0.600000, 2920.040383
   0.700000, 3406.814527
   0.800000, 3893.588671
   0.900000, 4380.362814
   1.000000, 4867.136958
   1.100000, 5353.911101
   1.200000, 5841.469184
   1.300000, 6329.125149
   1.400000, 6816.781113
   1.500000, 7304.437078
   1.600000, 7792.093043
   1.700000, 8279.749008
   1.800000, 8767.404972
   1.900000, 9255.060937
   2.000000, 9742.716902
   2.100000, 10230.372867
   2.200000, 10718.692552
   2.300000, 11207.095110
   2.400000, 11695.497667
   2.500000, 12183.900225
   2.600000, 12672.302782
   2.700000, 13160.705340
   2.800000, 13649.107897
   2.900000, 14137.510455
   3.000000, 14625.913012
   3.100000, 15114.315570
   3.200000, 15603.265493
   3.300000, 16092.283760
   3.400000, 16581.302026
   3.500000, 17070.320293
   3.600000, 17559.338560
   3.700000, 18048.356826
   3.800000, 18537.375093
   3.900000, 19026.393360
   4.000000, 19515.411627
   4.100000, 20004.429893
   4.200000, 20493.883024
   4.300000, 20983.390451
   4.400000, 21472.897878
   4.500000, 21962.405305
   4.600000, 22451.912732
   4.700000, 22941.420159
   4.800000, 23430.927587
   4.900000, 23920.435014
   5.000000, 24409.942441
   5.100000, 24899.449868
   5.200000, 25389.283495
   5.300000, 25879.157852
   5.400000, 26369.032208
   5.500000, 26858.906564
   5.600000, 27348.780921
   5.700000, 27838.655277
   5.800000, 28328.529634
   5.900000, 28818.403990
   6.000000, 29308.278346
   6.100000, 29798.152703
   6.200000, 30288.248414
   6.300000, 30778.371763
   6.400000, 31268.495113
   6.500000, 31758.618462
   6.600000, 32248.741811
   6.700000, 32738.865161
   6.800000, 33228.988510
   6.900000, 33719.111860
   7.000000, 34209.235209
   7.100000, 34699.358559
   7.200000, 35189.602210
   7.300000, 35679.860883
   7.400000, 36170.119555
   7.500000, 36660.378228
   7.600000, 37150.636901
   7.700000, 37640.895573
   7.800000, 38131.154246
   7.900000, 38621.412918
