Ground Distance, Emission H2O
   0.000000,    0.179148
   0.015488,  179.167344
   0.169973,  358.499094
   0.341596,  537.851101
   0.513220,  717.203108
   0.684843,  896.555115
   0.856466, 1075.907123
   1.028089, 1255.259130
   1.199713, 1434.611137
   1.371336, 1613.963144
   1.542959, 1793.315151
   1.714582, 1972.667159
   2.133732, 2152.282641
   2.583788, 2331.931020
   3.033843, 2511.579399
   3.483899, 2691.227779
   3.933955, 2870.876158
   4.384010, 3050.524537
   4.834066, 3230.172916
   5.284122, 3409.821296
   5.734177, 3589.469675
   6.184233, 3769.118054
   6.878893, 3948.986012
   7.604095, 4128.881386
   8.329296, 4308.776759
   9.054498, 4488.672133
   9.779699, 4668.567507
  10.504901, 4848.462881
  11.230102, 5028.358255
  11.955303, 5208.253629
  12.680505, 5388.149002
  13.405706, 5568.044376
  14.372573, 5748.116873
  15.369614, 5928.211485
  16.366654, 6108.306097
  17.363695, 6288.400710
  18.360736, 6468.495322
  19.357777, 6648.589934
  20.354817, 6828.684546
  21.351858, 7008.779159
  22.348899, 7188.873771
  23.345940, 7368.968383
  24.581690, 7549.199099
  25.847246, 7729.446810
  27.112802, 7909.694520
  28.378359, 8089.942231
  29.643915, 8270.189941
  30.909471, 8450.437651
  32.175027, 8630.685362
  33.440583, 8810.933072
  34.706139, 8991.180782
  35.971695, 9171.428493
  37.472993, 9351.772718
  39.003725, 9532.128994
  40.534457, 9712.485271
  42.065189, 9892.841547
  43.595922, 10073.197823
  45.126654, 10253.554100
  46.657386, 10433.910376
  48.188119, 10614.266652
  49.718851, 10794.622929
  51.249583, 10974.979205
  53.013077, 11155.393828
  54.805634, 11335.815736
  56.598190, 11516.237644
  58.390747, 11696.659552
  60.183303, 11877.081460
  61.975860, 12057.503368
  63.768416, 12237.925276
  65.560973, 12418.347184
  67.353529, 12598.769092
  69.146086, 12779.191000
  71.168415, 12959.634496
  73.219433, 13140.080687
  75.270451, 13320.526879
  77.321469, 13500.973070
  79.372487, 13681.419262
  81.423505, 13861.865453
  83.474524, 14042.311645
  85.525542, 14222.757836
  87.576560, 14403.204028
  89.627578, 14583.650219
  91.905372, 14764.082637
  94.211480, 14944.513336
  96.517589, 15124.944034
  98.823697, 15305.374733
 101.129806, 15485.805431
 103.435915, 15666.236130
 105.742023, 15846.666829
 108.048132, 16027.097527
 110.354240, 16207.528226
 112.660349, 16387.958924
 115.190230, 16568.341871
 117.748052, 16748.718857
 120.305874, 16929.095842
 122.863695, 17109.472827
 125.421517, 17289.849812
 127.979338, 17470.226797
 130.537160, 17650.603782
 133.094982, 17830.980767
 135.652803, 18011.357753
 138.210625, 18191.734738
 140.989213, 18372.031361
 143.795366, 18552.317951
 146.601518, 18732.604541
 149.407671, 18912.891130
 152.213824, 19093.177720
 155.019977, 19273.464309
 157.826130, 19453.750899
 160.632283, 19634.037489
 163.438435, 19814.324078
 166.244588, 19994.610668
 169.268499, 20174.785636
 172.319599, 20354.946667
 175.370699, 20535.107698
 178.421799, 20715.268730
 181.472899, 20895.429761
 184.523999, 21075.590792
 187.575099, 21255.751823
 190.626199, 21435.912854
 193.677300, 21616.073885
 196.728400, 21796.234916
 199.994249, 21976.255984
 203.286912, 22156.259577
 206.579575, 22336.263169
 209.872238, 22516.266762
 213.164901, 22696.270354
 216.457564, 22876.273947
 219.750227, 23056.277539
 223.042890, 23236.281132
 226.335553, 23416.284724
 229.628216, 23596.288316
 233.132706, 23776.328643
 236.663645, 23956.373556
 240.194584, 24136.418469
 243.725523, 24316.463383
 247.256461, 24496.508296
 250.787400, 24676.553209
 254.318339, 24856.598122
 257.849278, 25036.643035
 261.380217, 25216.687948
 264.911156, 25396.732862
 268.651292, 25576.966029
 272.417549, 25757.222702
 276.183806, 25937.479375
 279.950063, 26117.736048
 283.716320, 26297.992721
 287.482577, 26478.249395
 291.248834, 26658.506068
 295.015091, 26838.762741
 298.781348, 27019.019414
 302.547605, 27199.276087
 306.520491, 27379.693576
 310.519178, 27560.131146
 314.517864, 27740.568715
 318.516550, 27921.006284
 322.515236, 28101.443853
 326.513922, 28281.881423
 330.512608, 28462.318992
 334.511294, 28642.756561
 338.509980, 28823.194130
 342.508667, 29003.631699
 346.711408, 29184.203575
 350.939628, 29364.792220
 355.167848, 29545.380866
 359.396068, 29725.969511
 363.624288, 29906.558156
 367.852508, 30087.146802
 372.080728, 30267.735447
 376.308948, 30448.324092
 380.537168, 30628.912737
 384.765388, 30809.501383
 389.195085, 30990.198744
 393.649939, 31170.909680
 398.104793, 31351.620615
 402.559647, 31532.331551
 407.014501, 31713.042486
 411.469354, 31893.753422
 415.924208, 32074.464357
 420.379062, 32255.175293
 424.833916, 32435.886229
 429.288770, 32616.597164
 433.942520, 32797.392136
 438.621105, 32978.197600
 443.299689, 33159.003064
 447.978274, 33339.808528
 452.656858, 33520.613992
 457.335443, 33701.419456
 462.014027, 33882.224921
 466.692612, 34063.030385
 471.371196, 34243.835849
 476.049781, 34424.641313
 480.924679, 34605.507033
 485.824090, 34786.380277
 490.723500, 34967.253521
 495.622911, 35148.126765
 500.522321, 35329.000008
 505.421732, 35509.873252
 510.321142, 35690.746496
 515.220553, 35871.619740
 520.119964, 36052.492984
 525.019374, 36233.366227
 530.112527, 36414.318673
 535.229870, 36595.281009
 540.347213, 36776.243344
 545.464557, 36957.205679
 550.581900, 37138.168014
 555.699243, 37319.130349
 560.816587, 37500.092685
 565.933930, 37681.055020
 571.051273, 37862.017355
 576.168616, 38042.979690
 581.477248, 38224.152817
 586.809764, 38405.352263
 592.142280, 38586.551709
 597.474796, 38767.751155
 602.807312, 38948.950601
 608.139828, 39130.150047
 613.472344, 39311.349493
 618.804860, 39492.548939
 624.137376, 39673.748385
 629.469892, 39854.947831
 634.991339, 40036.364442
 640.536377, 40217.808167
 646.081415, 40399.251892
 651.626453, 40580.695617
 657.171491, 40762.139343
 662.716529, 40943.583068
 668.261567, 41125.026793
 673.806605, 41306.470518
 679.351643, 41487.914244
 684.896680, 41669.357969
 690.628299, 41850.997590
 696.383213, 42032.661670
 702.138128, 42214.325750
 707.893042, 42395.989830
 713.647957, 42577.653910
 719.402872, 42759.317990
 725.157786, 42940.982070
 730.912701, 43122.646150
 736.667615, 43304.310230
 742.422530, 43485.974310
 748.361672, 43667.813714
 754.323817, 43849.675008
 760.285962, 44031.536302
 766.248107, 44213.397596
 772.210251, 44395.258891
 778.172396, 44577.120185
 784.134541, 44758.981479
 790.096686, 44940.842773
 796.058831, 45122.704068
 802.020976, 45304.565362
 808.164996, 45486.582097
 814.331724, 45668.618240
 820.498453, 45850.654383
 826.665182, 46032.690526
 832.831911, 46214.726669
 838.998639, 46396.762812
 845.165368, 46578.798955
 851.332097, 46760.835097
 857.498826, 46942.871240
 863.665554, 47124.907383
 870.011807, 47307.079765
 876.380475, 47489.269158
 882.749143, 47671.458550
 889.117810, 47853.647943
 895.486478, 48035.837335
 901.855146, 48218.026727
 908.223814, 48400.216120
 914.592482, 48582.405512
 920.961149, 48764.594905
 927.329817, 48946.784297
 933.875660, 49129.091399
 940.443624, 49311.413199
 947.011589, 49493.734998
 953.579553, 49676.056797
 960.147518, 49858.378596
 966.715482, 50040.700396
 973.283447, 50223.022195
 979.851412, 50405.343994
 986.419376, 50587.665794
 992.987341, 50769.987593
 999.718269, 50952.404978
1006.469545, 51134.834298
1013.220820, 51317.263618
1019.972096, 51499.692938
1026.723372, 51682.122258
